Date,Close,Open,High,Low,Vol
1/30/2022,37917.7,38167.5,38313.3,37390.6,34100
1/31/2022,38498.6,37923.8,38701.4,36672.8,61270
2/1/2022,38709.7,38475.6,39230,38037.9,55200
2/2/2022,36890.2,38711.2,38853.8,36682.3,53740
2/3/2022,37287.8,36890.2,37304.3,36297.3,50350
2/4/2022,41567.6,37287.8,41689,37041.1,95490
2/5/2022,41412.1,41566.5,41899.8,40963.3,46320
2/6/2022,42392.2,41411.9,42614.8,41176.3,31200
2/7/2022,43833.9,42385.2,44468.3,41695.4,76600
2/8/2022,44038.2,43833.9,45399.8,42705,92880
2/9/2022,44388.9,44038.2,44800.4,43163,50920
2/10/2022,43521,44388.9,45755.2,43242.5,89690
2/11/2022,42388.4,43519.3,43915.1,42023.4,69950
2/12/2022,42205.2,42388.4,43006.4,41776.8,37880
2/13/2022,42061.1,42205.5,42725.1,41880.1,25880
2/14/2022,42550.3,42061.1,42799.7,41591.3,53600
2/15/2022,44544.4,42550.3,44722.6,42460.1,56340
2/16/2022,43883.6,44540.9,44552.9,43377.6,41400
2/17/2022,40552.8,43885.5,44167.1,40103.8,72630
2/18/2022,40000.1,40532.5,40935.5,39505,64960
2/19/2022,40090.3,40000.1,40434.3,39666.6,25780
2/20/2022,38355,40089.6,40120.3,38042.2,47920
2/21/2022,37017.7,38355,39444.1,36868.9,91820
2/22/2022,38248.2,37018.3,38414.9,36399.6,82750
2/23/2022,37224.6,38248.2,39194.5,37099.5,64840
2/24/2022,38339.2,37250.2,39351.6,34357.4,180470
2/25/2022,39209.6,38339.2,39683.7,38042.6,83780
2/26/2022,39115.5,39221.6,40094.5,38639.1,41550
2/27/2022,37689.1,39116.6,39838.5,37062.3,66140
2/28/2022,43188.2,37707.2,43977.8,37458.9,108070
3/1/2022,44420.3,43187.2,44900.5,42876.6,90670
3/2/2022,43912.8,44420.3,45294.2,43361.3,80820
3/3/2022,42463,43912.8,44077.2,41840.8,74110
3/4/2022,39142.7,42463,42848.7,38594.9,3210000000
3/5/2022,39395.8,39142.8,39600.2,38626.1,1500000000
3/6/2022,38403.1,39396.3,39668.1,38115,1930000000
3/7/2022,38024.8,38420.6,39532,37182.1,3020000000
3/8/2022,38744.8,38020.6,39351.5,37886.6,2670000000
3/9/2022,41929,38731.5,42538.5,38663.3,3600000000
3/10/2022,39416.3,41933.9,42029.1,38603.5,3620000000
3/11/2022,38730.2,39422.5,40177,38236.4,2790000000
3/12/2022,38814.3,38730.2,39355.3,38666.5,1110000000
3/13/2022,37792.4,38813.2,39272.3,37603.4,1550000000
3/14/2022,39671.1,37789.5,39914.3,37613.6,2330000000
3/15/2022,39285.7,39673,39854.7,38220.9,2250000000
3/16/2022,41118.7,39282.5,41701.6,38953.2,4470000000
3/17/2022,40914.8,41118.7,41406,40557.8,1900000000
3/18/2022,41767.8,40914.6,42308.4,40234.8,2310000000
3/19/2022,42233,41768,42386,41529.6,224590000
3/20/2022,41276,42241,42301,40922,308450000
3/21/2022,41022,41282,41532,40530,406620000
3/22/2022,42373,41022,43327.9,40893,537060000
3/23/2022,42912,42373,43027,41795,433960000
3/24/2022,44013,42911,44251,42658,491660000
3/25/2022,44331,44013,45112,43622,494090000
3/26/2022,44548,44331,44818,44090,196300000
3/27/2022,46859,44542,46947,44445,388790000
3/28/2022,47105,46859,48199,46672,610270000
3/29/2022,47449,47126,48127,47029,478820000
3/30/2022,47075,47449,47714,46601,467760000
3/31/2022,45525,47071,47624,45228,520000000
4/1/2022,46297,45529,46728,44261,632930000
4/2/2022,45811,46299,47212,45641,345930000
4/3/2022,46407,45813,47435,45554,398860000
4/4/2022,46629,46407,46899,45152,446120000
4/5/2022,45506,46614,47201,45388,421110000
4/6/2022,43173,45494,45519,43122,649520000
4/7/2022,43448,43166,43893,42747,390850000
4/8/2022,42275,43450,43979,42113,467830000
4/9/2022,42767,42275,42809,42129,165160000
4/10/2022,42138,42760,43421,41884,255830000
4/11/2022,39497,42144,42418,39202,608380000
4/12/2022,40078,39507,40678,39265,468270000
4/13/2022,41133,40072,41515,39581,406700000
4/14/2022,39936,41133,41494,39585,294290000
4/15/2022,40560,39936,40850,39781,233090000
4/16/2022,40382,40571,40691,40003,151310000
4/17/2022,39703,40382,40599,39561,210010000
4/18/2022,40803,39700,41095,38577,484260000
4/19/2022,41503,40809,41746,40585,268280000
4/20/2022,41368,41499,42203,40915,382840000
4/21/2022,40482,41370,42969,39793,493050000
4/22/2022,39709,40487,40792,39200,421300000
4/23/2022,39418,39709,39973,39291,190600000
4/24/2022,39464,39434,39929,39033,283630000
4/25/2022,40427,39464,40599,38233,654600000
4/26/2022,38113,40443,40770,37708,681470000
4/27/2022,39243,38113,39447,37869,426830000
4/28/2022,39748,39243,40382,38888,542390000
4/29/2022,38581,39748,39919,38175,382900000
4/30/2022,37650,38590,38776,37596,248220000
5/1/2022,38461,37642,38676,37397,276990000
5/2/2022,38514,38472,39134,38061,580790000
5/3/2022,37718,38515,38647,37513,367210000
5/4/2022,39688,37717,40021,37660,691490000
5/5/2022,36544,39686,39833,36183,1040000000
5/6/2022,36009,36540,36646,35267,752840000
5/7/2022,35468,36003,36119,34773,288860000
5/8/2022,34060,35468,35497,33727,671050000
5/9/2022,30095,34041,34227,30095,268090
5/10/2022,31007.5,30098.2,32621.2,29831,235610
5/11/2022,29068.2,31008,32113.6,27835.5,296900
5/12/2022,28976,29073.4,30136.7,26500.5,309480
5/13/2022,29284.4,28994.3,31002.7,28755,141230
5/14/2022,30080.4,29285.2,30277.4,28666.7,70460
5/15/2022,31308.7,30078.6,31383.8,29499.4,65440
5/16/2022,29849,31308.3,31312.4,29135.8,100250
5/17/2022,30437.5,29856.7,30720.1,29484.5,79630
5/18/2022,28683.7,30437.5,30687.9,28648.1,92030
5/19/2022,30305.9,28700.4,30525.1,28682.1,101380
5/20/2022,29178.6,30305.9,30735.1,28738.5,98780
5/21/2022,29434.6,29188.7,29623.2,28953.9,32270
5/22/2022,30286.6,29433,30462,29260.1,50600
5/23/2022,29093.3,30287.3,30644.8,28913.6,92100
5/24/2022,29648.7,29091.6,29810.8,28706.1,79420
5/25/2022,29540.6,29648.7,30202.3,29353.5,78850
5/26/2022,29203.5,29537.9,29868.9,28077.9,126710
5/27/2022,28601.2,29194,29377.1,28282.2,116410
5/28/2022,29027.1,28620.1,29194.4,28537.2,43870
5/29/2022,29465.2,29027.1,29556.5,28838.7,36870
5/30/2022,31723.3,29465.2,32185.6,29307.2,129560
5/31/2022,31793.4,31730.2,32377.5,31221.2,86600
6/1/2022,29798.5,31793.1,31969.9,29396.6,135090
6/2/2022,30455.5,29798.6,30638.5,29604.4,81400
6/3/2022,29700.9,30455.7,30674.8,29330.8,72130
6/4/2022,29864.3,29700.9,29963.8,29489.5,33510
6/5/2022,29913,29865.1,30166.9,29539,30330
6/6/2022,31367.6,29911.2,31753.4,29888.6,94010
6/7/2022,31128.8,31370.3,31556.6,29235,140320
6/8/2022,30201.6,31127.2,31312.1,29874.8,87960
6/9/2022,30097.8,30202.1,30691.4,29953.8,61720
6/10/2022,29083.3,30097.4,30325.6,28884.9,104260
6/11/2022,28403.4,29083.3,29426.6,28161.8,82920
6/12/2022,26606.3,28404,28534.8,26606.3,120020
6/13/2022,22448,26606.3,26857.6,22006.3,379260
6/14/2022,22157.3,22449.1,23200.3,20860.9,251010
6/15/2022,22577.9,22137.5,22754.4,20125.8,280410
6/16/2022,20386.6,22577.9,22942.1,20231.1,144000
6/17/2022,20444.6,20391.3,21315.4,20244.1,136270
6/18/2022,18986.5,20446.4,20744.7,17630.5,267250
6/19/2022,20577.2,18983.4,20763.5,17983.7,169390
6/20/2022,20572.3,20576.9,20996.8,19658.8,140600
6/21/2022,20720.4,20571.6,21689.3,20371.7,136320
